Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,month,week_of_year,year,quarter,sales_lag_1,sales_lag_4,sales_lag_8,sales_lag_12,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,5,20,2010,2,1494251.5,1391256.12,1404429.92,1409727.59,1478640.8625,93897.10021693469,1490679.8075,83621.0986891044,1483502.5091666665,75039.27444468888
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,5,21,2010,2,1399662.07,1425100.71,1594968.28,1554806.68,1480742.35,91348.94221530126,1490083.82625,84337.55384377709,1482663.7158333333,75989.14841881134
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,6,22,2010,2,1432069.95,1603955.12,1545418.53,1439541.59,1482484.6600000001,89990.28757758501,1469721.5350000001,74486.46941173743,1472435.655,73619.18016701542
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,6,23,2010,2,1615524.71,1494251.5,1466058.28,1472515.79,1485377.0575,95229.32666829095,1478484.8074999999,87628.9336649198,1487100.915,83355.34040330317
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,6,24,2010,2,1542561.09,1399662.07,1391256.12,1404429.92,1497454.455,99688.97915495554,1488047.65875,90215.27943744256,1492938.0233333334,84683.09031950736
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,6,25,2010,2,1503284.06,1432069.95,1425100.71,1594968.28,1523359.9525,76594.02113840077,1502051.1512499999,81298.69093982888,1501175.8683333334,79967.31984936437
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,7,26,2010,3,1422711.6,1615524.71,1603955.12,1545418.53,1521020.365,80362.22961956475,1501752.5125,81625.46918952123,1486821.1450000003,77006.15242121488
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,7,27,2010,3,1492418.14,1542561.09,1494251.5,1466058.28,1490243.7225,49908.15900252272,1487810.3900000001,70433.06430789045,1482404.4458333335,74828.90099405497
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,7,28,2010,3,1546074.18,1503284.06,1399662.07,1391256.12,1491121.9949999999,51151.15051575243,1494288.225,73429.45924143816,1489072.4375,76779.5552929183
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,7,29,2010,3,1448938.92,1422711.6,1432069.95,1425100.71,1477535.71,53982.92331296985,1500447.83125,66054.22302071113,1493879.3375000001,71739.10625384391
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,7,30,2010,3,1385065.2,1492418.14,1615524.71,1603955.12,1468124.1099999999,68149.99963895802,1494572.2374999998,74549.65630533305,1490543.045,76031.05811230387
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,8,31,2010,3,1371986.6,1546074.18,1542561.09,1494251.5,1438016.225,79497.4828344398,1464129.9737500001,67493.32805790578,1471212.335,74037.55526170161
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,8,32,2010,3,1605491.78,1448938.92,1503284.06,1399662.07,1452870.625,107157.94638036602,1471996.31,80377.79688835685,1480482.3583333334,83538.843286891
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,8,33,2010,3,1508237.76,1385065.2,1422711.6,1432069.95,1467695.335,110482.9544091712,1472615.5225,80671.80746125482,1489530.3325000003,79785.03789557178
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,8,34,2010,3,1513080.49,1371986.6,1492418.14,1615524.71,1499699.1575,96184.79455497244,1483911.63375,78995.27898404656,1496281.2108333334,77885.81213659518
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,9,35,2010,3,1449142.92,1605491.78,1546074.18,1542561.09,1518988.2374999998,64579.938806430226,1478502.23125,79807.07848695731,1482416.0616666668,69035.09982488945
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,9,36,2010,3,1540163.53,1508237.76,1448938.92,1503284.06,1502656.175,38341.842131551464,1477763.4,79116.52253760172,1482216.265,68848.4249026622
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,9,37,2010,3,1507460.69,1513080.49,1385065.2,1422711.6,1502461.9074999997,38306.08693123161,1485078.62125,78775.40194364697,1482564.3175,68975.0528341807
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,9,38,2010,3,1430378.67,1449142.92,1371986.6,1492418.14,1481786.4525000001,50909.75664281918,1490742.805,71884.51460092509,1483203.24,68403.37072873848
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,10,39,2010,4,1351791.03,1540163.53,1605491.78,1546074.18,1457448.48,84141.29386439837,1488218.35875,76834.94461187546,1471484.3141666667,78047.47289625808
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,10,40,2010,4,1453329.5,1507460.69,1508237.76,1448938.92,1435739.9725,64625.64327920404,1469198.07375,60822.068593465265,1463755.5908333333,74501.15282844864
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,10,41,2010,4,1508239.93,1430378.67,1513080.49,1385065.2,1435934.7824999997,64914.43604929847,1469198.345,60822.267576787046,1468697.3416666668,75390.44512727374
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,10,42,2010,4,1459409.1,1351791.03,1449142.92,1371986.6,1443192.39,65704.22044353343,1462489.4212500001,58193.69999907747,1474892.6666666667,70808.48888028943
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,10,43,2010,4,1345454.0,1453329.5,1540163.53,1605491.78,1441608.1325,68652.94005579711,1449528.30625,71594.87586640465,1472681.6166666665,74625.31135249241
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,11,44,2010,4,1384209.22,1508239.93,1507460.69,1508237.76,1424328.0625,73263.26946523674,1430034.0174999998,64245.51640348866,1454241.4033333333,65620.55935659165
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,11,45,2010,4,1551659.28,1459409.1,1430378.67,1513080.49,1435182.9,90927.16391393862,1435558.84125,73139.81726771157,1457859.8633333333,69924.73423793259
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,11,46,2010,4,1494479.49,1345454.0,1351791.03,1449142.92,1443950.4975,95611.96084137318,1443571.4437499999,75948.50170067046,1456309.78,68786.22971890643
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,11,47,2010,4,1483784.18,1384209.22,1453329.5,1540163.53,1478533.0425,69585.18456978216,1460070.5875,66967.87100304443,1459196.5516666668,69183.86356369437
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,12,48,2010,4,1955624.11,1551659.28,1508239.93,1507460.69,1621386.765,224808.4019809472,1522857.41375,187229.13281548012,1493818.2666666666,159017.20548746502
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,12,49,2010,4,1548033.78,1494479.49,1459409.1,1430378.67,1620480.39,225190.21958121238,1527831.645,187313.89697434232,1497199.3575,159763.23758509354
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,12,50,2010,4,1682614.26,1483784.18,1345454.0,1351791.03,1667514.0825,209179.04855628058,1555732.2899999998,192225.28349704487,1518218.99,166618.5069133223
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,12,51,2010,4,1891034.93,1955624.11,1384209.22,1453329.5,1769326.77,187979.80557788638,1623929.90625,203419.86823767197,1563155.9816666665,188881.98718535996
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,12,52,2010,4,2387950.2,1548033.78,1551659.28,1508239.93,1877408.2925,368452.17199591256,1749397.52875,313956.6637602051,1641041.0399999998,299677.26802736125
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,1,1,2011,1,1367320.01,1682614.26,1494479.49,1459409.1,1832229.85,428489.2565505779,1726355.1199999999,336498.07928628067,1629297.7133333331,307999.8986848121
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,1,2,2011,1,1444732.28,1891034.93,1483784.18,1345454.0,1772759.355,470613.6815621626,1720136.71875,341812.9124143818,1628074.6450000003,308764.0495111588
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,1,3,2011,1,1391013.96,2387950.2,1955624.11,1384209.22,1647754.1125000003,494525.666395813,1708540.4412500001,352386.9521241016,1631871.3083333336,305232.8447325352
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,1,4,2011,1,1327405.42,1367320.01,1548033.78,1551659.28,1382617.9175,49027.656863276796,1630013.105,359387.8074375348,1627137.6583333332,309828.70082321047
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2,5,2011,1,1316899.31,1444732.28,1682614.26,1494479.49,1370012.7425,59611.18760559322,1601121.2962500001,375834.10453709186,1607574.3275,322192.80261316913
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2,6,2011,1,1606629.58,1391013.96,1891034.93,1483784.18,1410487.0675,134799.00547446244,1591623.2112500002,374437.94985325437,1616920.1683333332,320234.64919579856
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2,7,2011,1,1649614.93,1327405.42,2387950.2,1955624.11,1475137.31,177573.11444171303,1561445.7112500002,356141.3559852138,1630739.3975,317533.7689865634
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2,8,2011,1,1686842.78,1316899.31,1367320.01,1548033.78,1564996.65,168614.2774516193,1473807.28375,150725.607470149,1608340.9533333334,301614.1225915868
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,3,9,2011,1,1456800.28,1606629.58,1444732.28,1682614.26,1599971.8924999998,100918.14784923608,1484992.3175000001,144902.09507341453,1600738.1616666664,304409.39234687976
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,3,10,2011,1,1636263.41,1649614.93,1391013.96,1891034.93,1607380.35,102642.7886173674,1508933.7087500002,152901.86917637815,1596875.5908333333,303568.9488834916
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,3,11,2011,1,1553191.63,1686842.78,1327405.42,2387950.2,1583274.525,100722.259369,1529205.9175,145611.4536559987,1568721.9825,289130.70929903345
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,3,12,2011,1,1576818.06,1456800.28,1316899.31,1367320.01,1555768.3450000002,74663.38536161272,1560382.4975,120822.4850460455,1501127.6375,132687.24884557823
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,4,13,2011,2,1541102.38,1636263.41,1606629.58,1444732.28,1576843.87,42298.79810902612,1588407.8812499999,72693.87231975814,1515609.5016666667,126074.21056019996
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,4,14,2011,2,1495064.75,1553191.63,1649614.93,1391013.96,1541544.205,34353.27399302004,1574462.2774999999,79116.42816985592,1519803.8741666665,124326.9755684539
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,4,15,2011,2,1614259.35,1576818.06,1686842.78,1327405.42,1556811.135,50859.137162884435,1570042.83,75209.70503164966,1538407.656666667,119928.36939309206
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,4,16,2011,2,1559889.0,1541102.38,1456800.28,1316899.31,1552578.87,49320.392792910694,1554173.6075,58604.86605621027,1557781.2883333333,99839.14545805736
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,4,17,2011,2,1564819.81,1495064.75,1636263.41,1606629.58,1558508.2275,48904.68656360464,1567676.0487499998,43449.41498839391,1578441.33,65052.265745739925
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,5,18,2011,2,1455090.69,1614259.35,1553191.63,1649614.93,1548514.7125,66946.83452985478,1545029.4587500002,49401.06160287719,1565813.0891666666,73272.15979856366
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,5,19,2011,2,1629391.28,1559889.0,1576818.06,1686842.78,1552297.695,72127.32710260303,1554554.415,57827.02250805078,1564127.785,71377.52271484025
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,5,20,2011,2,1604775.58,1564819.81,1541102.38,1456800.28,1563519.34,77027.38296939983,1558049.105,60162.33323829398,1557288.8516666666,61846.054749486524
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,5,21,2011,2,1428218.27,1455090.69,1495064.75,1636263.41,1529368.955,102370.80690586701,1543938.59125,75887.647994527,1554907.0175,66447.15178042286
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,6,22,2011,2,1466046.67,1629391.28,1614259.35,1553191.63,1532107.95,99836.18093564716,1540311.33125,79179.53265803501,1540722.2891666668,65664.63301542624
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,6,23,2011,2,1635078.41,1604775.58,1559889.0,1576818.06,1533529.7325,101706.39531884459,1542913.71375,82240.15297022472,1547546.1875,71107.53082217333
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,6,24,2011,2,1588948.32,1428218.27,1564819.81,1541102.38,1529572.9175,98260.19211085142,1546546.1287500001,83725.37458298415,1548557.0424999997,71645.67008283871
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,6,25,2011,2,1532114.86,1466046.67,1455090.69,1495064.75,1555547.065,73030.28506357533,1542458.01,83503.80728310907,1547808.0825000003,71777.53797621942
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,7,26,2011,3,1438830.15,1635078.41,1629391.28,1614259.35,1548742.935,84513.5105789499,1540425.4425000001,86092.00637729971,1543121.8658333335,77167.4493707202
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,7,27,2011,3,1488538.09,1588948.32,1604775.58,1559889.0,1512107.855,63848.500850862445,1522818.79375,79444.73317094526,1532645.0941666665,75139.0599683523
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,7,28,2011,3,1534849.64,1532114.86,1428218.27,1564819.81,1498583.185,45132.98170164172,1514078.05125,72699.85381560391,1530558.4808333332,74659.86132091787
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,7,29,2011,3,1455119.97,1438830.15,1466046.67,1455090.69,1479334.4625000001,42401.189724443655,1517440.76375,68671.65337333655,1521416.8275,76769.62950017011
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,7,30,2011,3,1396926.82,1488538.09,1635078.41,1629391.28,1468858.63,58037.43221744261,1508800.7825,79548.39981957551,1516569.8383333331,82927.14324438748
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,8,31,2011,3,1352219.79,1534849.64,1588948.32,1604775.58,1434779.0550000002,78902.25754504606,1473443.455,78254.23634237997,1493472.2141666666,87139.53269175641
1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,8,32,2011,3,1624383.75,1455119.97,1532114.86,1428218.27,1457162.5825,119175.5398666774,1477872.88375,86313.97721798814,1495106.2283333333,89566.44596761439
1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,8,33,2011,3,1525147.09,1396926.82,1438830.15,1466046.67,1474669.3625,123828.10601510033,1477001.9125,85721.56630129149,1503183.63,87328.61244300377
1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,8,34,2011,3,1530761.43,1352219.79,1488538.09,1635078.41,1508128.0150000001,113467.60320528776,1488493.3225,86034.78594083624,1508576.5266666666,86823.5060886239
1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,9,35,2011,3,1464693.46,1624383.75,1534849.64,1588948.32,1536246.4324999999,65932.52931605662,1485512.74375,86445.0704176678,1494377.7808333335,77708.82584661177
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,9,36,2011,3,1550229.22,1525147.09,1455119.97,1532114.86,1517707.8,36940.958732966385,1487435.19125,87858.47217308424,1491151.1891666667,74147.3615127717
1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,9,37,2011,3,1540471.24,1530761.43,1396926.82,1438830.15,1521538.8375,38721.342383566014,1498104.1,88553.23012529947,1491847.5541666665,74604.88005477711
1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,9,38,2011,3,1514259.78,1464693.46,1352219.79,1488538.09,1517413.425,38287.85456008505,1512770.72,78553.90144865826,1498133.3566666667,72889.76507106738
1,2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,9,39,2011,3,1380020.27,1550229.22,1624383.75,1534849.64,1496245.1275,78957.74497687885,1516245.78,70654.57274145959,1489090.205,80520.68360365323
1,2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,10,40,2011,4,1394561.83,1540471.24,1525147.09,1455119.97,1457328.28,81792.63036397507,1487518.04,67034.51063526703,1477399.5541666665,83405.37226741877
1,2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,10,41,2011,4,1630989.95,1514259.78,1530761.43,1396926.82,1479957.9575,117285.00580521044,1500748.3975,83856.41128167605,1492055.3858333335,93923.14379961505
1,2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,10,42,2011,4,1493525.93,1380020.27,1464693.46,1352219.79,1474774.4949999999,115711.30667479933,1496093.96,82981.37105975955,1500105.3116666668,89041.476109226
1,2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,10,43,2011,4,1502562.78,1394561.83,1550229.22,1624383.75,1505410.1225,96965.59255011339,1500827.625,82008.666055996,1512633.8941666668,75957.2584497867
1,2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,11,44,2011,4,1445249.09,1630989.95,1540471.24,1525147.09,1518081.9375,79365.57758354135,1487705.1087500001,81371.10900097263,1497706.0058333334,69310.32690731234
1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,11,45,2011,4,1697229.58,1493525.93,1514259.78,1530761.43,1534641.845,111273.5684345579,1507299.90125,109800.72466641726,1512046.2133333331,90167.56144699146
1,2011-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,11,46,2011,4,1594938.89,1502562.78,1380020.27,1464693.46,1559995.085,110332.05812747712,1517384.79,114150.21841478477,1517394.335,93229.81777990327
1,2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,11,47,2011,4,1539483.7,1445249.09,1394561.83,1550229.22,1569225.315,105358.03691148979,1537317.71875,99751.60852905622,1523626.8549999997,91876.50521203435
1,2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,12,48,2011,4,2033320.66,1697229.58,1630989.95,1540471.24,1716243.2075,221252.7136182967,1617162.5724999998,186811.88109276287,1563884.4749999999,173856.31259613115
1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,12,49,2011,4,1584083.95,1594938.89,1493525.93,1514259.78,1687956.8,231489.63818826282,1611299.3225,187051.8376262069,1567518.8675,173778.20902092996
1,2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,12,50,2011,4,1799682.38,1539483.7,1502562.78,1380020.27,1739142.6725,226651.46314464236,1649568.87875,190795.27644755773,1591304.0841666667,184996.81888866602
1,2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,12,51,2011,4,1881176.67,2033320.66,1445249.09,1394561.83,1824565.915,187291.29446403368,1696895.615,196007.5358566939,1633067.1175,189477.1532014688
1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,12,52,2011,4,2270188.99,1584083.95,1697229.58,1630989.95,1883782.9975,286477.93220376415,1800013.1025,253322.56941809691,1706036.0475,248644.22168431274
1,2012-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348,1,1,2012,1,1497462.72,1799682.38,1594938.89,1493525.93,1862127.69,318201.6369551573,1775042.2449999999,273910.8825082691,1694908.7783333333,255209.10526506175
1,2012-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,1,2,2012,1,1550369.92,1881176.67,1539483.7,1502562.78,1799799.575,356609.57176319556,1769471.12375,278511.94816586125,1699645.7775,251633.88295196657
1,2012-01-20,1394393.84,0,54.11,3.268,219.9856893,7.348,1,3,2012,1,1459601.17,2270188.99,2033320.66,1445249.09,1694405.7,385656.3269904229,1759485.8074999999,289163.7839719828,1696065.6433333333,254976.2232948491
1,2012-01-27,1319325.59,0,54.26,3.29,220.0788523,7.348,1,4,2012,1,1394393.84,1497462.72,1584083.95,1697229.58,1475456.9125,65622.25371977451,1679619.955,290956.0695490151,1691827.7058333333,259899.11172538358
1,2012-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348,2,5,2012,1,1319325.59,1550369.92,1799682.38,1594938.89,1430922.6300000001,98112.80171398,1646525.16,317245.01986466825,1660335.7066666668,281206.93204789987
1,2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,2,6,2012,1,1636339.65,1459601.17,1881176.67,1539483.7,1452415.0625,135350.36507618325,1626107.31875,311178.02048893546,1663785.7700000003,280584.9339587638
1,2012-02-17,1819870.0,0,45.32,3.51,220.4257586,7.348,2,7,2012,1,1802477.43,1394393.84,2270188.99,2033320.66,1538134.1275,222156.21572786308,1616269.91375,303101.625801846,1685701.9141666668,280264.0832981935
1,2012-02-24,1539387.83,0,57.25,3.555,220.636902,7.348,2,8,2012,1,1819870.0,1319325.59,1497462.72,1584083.95,1644503.1675,232031.96150547982,1559980.04,181890.31494246458,1667914.3591666669,262400.2906220065
1,2012-03-02,1688420.76,0,60.96,3.63,220.8480454,7.348,3,9,2012,1,1539387.83,1636339.65,1550369.92,1799682.38,1699518.7275,135053.59847206002,1565220.67875,180429.85029634106,1664189.6825,264010.69026340806
1,2012-03-09,1675431.16,0,58.76,3.669,221.0591887,7.348,3,10,2012,1,1688420.76,1802477.43,1459601.17,1881176.67,1712539.0050000001,129321.15310977964,1582477.03375,185341.37493022665,1654917.8808333334,260753.34368538702
1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,3,11,2012,1,1675431.16,1819870.0,1394393.84,2270188.99,1680777.4375,114636.7671005024,1609455.7825,180546.45047302332,1637772.4216666669,251109.4513953442
1,2012-03-23,1511068.07,0,65.93,3.787,221.2864126,7.348,3,12,2012,1,1677472.78,1539387.83,1319325.59,1497462.72,1645178.1324999998,70757.10297962656,1644840.6500000001,158806.75925789092,1588379.4041666666,155494.7771110592
1,2012-03-30,1649604.63,0,67.61,3.845,221.3610119,7.348,3,13,2012,1,1511068.07,1688420.76,1636339.65,1550369.92,1638098.1925,84878.58274285388,1668808.46,109463.95952578573,1589513.1833333333,154819.73572377686
1,2012-04-06,1899676.88,0,70.43,3.891,221.4356112,7.143,4,14,2012,2,1649604.63,1675431.16,1802477.43,1459601.17,1628394.16,79239.059691568,1670466.5825,109001.36142497929,1597782.7424999997,155188.6874560829
1,2012-04-13,1621031.7,0,69.07,3.891,221.5102105,7.143,4,15,2012,2,1899676.88,1677472.78,1819870.0,1394393.84,1684455.59,160879.6494375326,1682616.51375,129338.2097640717,1634455.7183333335,170780.5218982939
1,2012-04-20,1521577.87,0,66.76,3.877,221.5640737,7.143,4,16,2012,2,1621031.7,1511068.07,1539387.83,1319325.59,1670345.32,164138.3726400529,1657761.72625,117783.5142710723,1653342.2066666668,153473.7048247249
1,2012-04-27,1468928.37,0,67.23,3.814,221.6179368,7.143,4,17,2012,2,1521577.87,1649604.63,1688420.76,1636339.65,1672972.77,160788.79931627135,1655535.48125,120478.04049678928,1670196.5633333335,121161.75024355159
1,2012-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,5,18,2012,2,1468928.37,1899676.88,1675431.16,1802477.43,1627803.705,191908.1233551689,1628098.9325,135921.9137413295,1656245.623333333,134336.388249623
1,2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,5,19,2012,2,1684519.99,1621031.7,1677472.78,1819870.0,1574014.4825,96978.99308632269,1629235.0362500001,136411.16238427244,1646415.8366666667,126765.75367257847
1,2012-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,5,20,2012,2,1611096.05,1521577.87,1511068.07,1539387.83,1571530.57,95489.12664398883,1620937.9449999998,135070.05889833556,1629018.0075,114532.26872883174
1,2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,5,21,2012,2,1595901.87,1468928.37,1649604.63,1688420.76,1590111.57,89577.14311157566,1631542.17,128376.26871910765,1633727.5108333332,111636.994180564
1,2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,6,22,2012,2,1555444.55,1684519.99,1899676.88,1675431.16,1611740.615,53905.366668781426,1619772.1600000001,130777.67110465211,1622646.16,112312.19377792535
1,2012-06-08,1697230.96,0,78.3,3.452,221.7494839,7.143,6,23,2012,2,1624477.58,1611096.05,1621031.7,1677472.78,1596730.0125000002,29896.966231018472,1585372.2475,67536.49984154939,1618400.0283333333,111091.71470945691
